判決字號,情事變更適用,是否為公共工程,施工地點,情事變更的原因,審級,約款類型,公共工程金額類型
最高法院 106.07.26. 一百零六年度臺上字第393號民事判決,是,是,臺北,天災或自然災害,最高法院,變更設計,巨額採購
最高法院 106.03.23. 一百零六年度臺上字第466號,是,是,高雄,天災或自然災害,最高法院,變更設計,查核金額
最高法院 104.12.23. 一百零四年度臺上字第2433號民事判決,是,是,桃園,天災或自然災害,最高法院,變更設計,巨額採購
最高法院 103.10.22. 一百零三年度臺上字第2185號民事判決,是,是,臺中,天災或自然災害,最高法院,變更設計,巨額採購
最高法院 103.09.24. 一百零三年度臺上字第1954號民事判決,是,是,臺南,天災或自然災害,最高法院,變更設計,
最高法院 102.10.24. 一百零二年度臺上字第2031號民事裁定,否,是,臺中,天災或自然災害,最高法院,變更設計,巨額採購
最高法院 102.05.09. 一百零二年度臺再字第18號民事判決,是,是,彰化,天災或自然災害,最高法院,變更設計,
最高法院 102.05.09. 一百零二年度臺再字第18號民事判決,是,是,彰化,天災或自然災害,最高法院,變更設計,查核金額
最高法院 102.01.17. 一百零二年度臺上字第122號民事判決,否,是,彰化,天災或自然災害,最高法院,變更設計,巨額採購
最高法院 100.12.22. 一百年度臺上字第2211號民事判決,是,是,臺中,天災或自然災害,最高法院,變更設計,
最高法院 100.08.18. 一百年度臺上字第1344號民事判決,否,是,南投,天災或自然災害,最高法院,否,
最高法院 97.05.15. 九十七年度臺上字第967號民事判決,是,是,臺中,天災或自然災害,最高法院,變更設計,
最高法院 097.02.29. 九十七年度臺上字第360號民事判決,是,是,臺北,天災或自然災害,最高法院,變更設計,查核金額
最高法院 097.01.31. 九十七年度臺上字第197號民事判決,是,是,高雄,天災或自然災害,最高法院,變更設計,
最高法院 96.09.27. 九十六年度臺上字第2167號民事判決,是,是,臺北,天災或自然災害,最高法院,變更設計,
最高法院 95.07.13. 九十五年度臺上字第1519號民事判決,否,否,臺中,天災或自然災害,最高法院,變更設計,
最高法院 95.04.27. 九十五年度臺上字第864號民事判決,是,是,臺中,天災或自然災害,最高法院,變更設計,公告金額
最高法院 94.07.28. 九十四年度臺上字第1382號民事判決,是,否,彰化,天災或自然災害,最高法院,變更設計,
最高法院 94.02.17. 九十四年度臺上字第254號民事判決,否,否,高雄,天災或自然災害,最高法院,變更設計,
最高法院 93.12.16. 九十三年度臺上字第2503號民事判決,否,是,高雄,天災或自然災害,最高法院,變更設計,
臺北地方法院107年度建字第428號民事判決,否,是,臺北,漏項,地方法院,漏項,
屏東地方法院106年度建字第38號民事判決,是,是,屏東,變更設計,地方法院,變更設計,巨額採購
臺北地方法院106度建字第150號民事判決,是,是,桃園,變更設計,地方法院,變更設計,
高雄地方法院109年度建字第24號民事判決,否,是,臺南,地質因素,地方法院,否,
屏東地方法院98年度建字第7號民事判決,否,是,屏東,物價波動,地方法院,物價,
屏東地方法院97年度建字第15號民事判決,否,是,澎湖,物價波動,地方法院,物價,查核金額
宜蘭地方法院96年度訴字第277號民事判決,否,是,宜蘭,物價波動,地方法院,物價,查核金額
宜蘭地方法院94年度訴字第264號民事判決,否,是,宜蘭,物價波動,地方法院,物價,公告金額
基隆地方法院95年度訴字第268號民事判決,否,是,基隆,物價波動,地方法院,物價,公告金額
基隆地方法院95年度訴字第437號民事判決,否,是,基隆,物價波動,地方法院,物價,查核金額
臺南地方法院95年度建字第3號民事判決,否,是,臺南,物價波動,地方法院,物價,公告金額
臺南地方法院95年度建字第8號民事判決,否,是,臺南,物價波動,地方法院,物價,公告金額
嘉義地方法院95年度建字第13號民事判決,否,是,嘉義,物價波動,地方法院,物價,公告金額
,,,,,,,
,,,,,,,
最高法院 93.06.10. 九十三年度臺上字第1153號民事判決,否,是,臺中,天災或自然災害,最高法院,變更設計,查核金額
